ID,Name,SMILES,MW,LogP,HBD,HBA,TPSA,RotB,GI absorption,Plant,Source
LIG_0149,,CN1CCc2c([nH]c3ccccc23)C1,186.26,2.16,1,1,19.03,0,Unknown,Natural Product,COCONUT
LIG_0150,,O=C1CCC(=O)c2c(O)ccc(O)c21,192.17,1.26,2,4,74.6,0,Unknown,Natural Product,COCONUT
LIG_0151,,Cc1cc(C(C)(C)C)nc(N)n1,165.24,1.66,1,3,51.8,0,Unknown,Natural Product,COCONUT
LIG_0152,,C#CCCCCCCCCC(=O)OC,196.29,2.91,0,2,26.3,8,Unknown,Natural Product,COCONUT
LIG_0153,,CC(=O)/C=C(\C)CCCCCC(=O)O,198.26,2.56,1,2,54.37,7,Unknown,Natural Product,COCONUT
LIG_0154,,Cc1cc(O)cc2c1C(=O)[C@](C)(O)O2,194.19,0.98,2,4,66.76,0,Unknown,Natural Product,COCONUT
LIG_0155,,COC(=O)[C@H](N)c1cccc(OC)c1,195.22,0.87,1,4,61.55,3,Unknown,Natural Product,COCONUT
LIG_0156,,C[C@@]1(O)C[C@@]2(CO1)OC[C@@H](O)[C@@H]2O,190.2,-1.39,3,5,79.15,0,Unknown,Natural Product,COCONUT
LIG_0157,,COC(=O)c1cnccn1,138.13,0.26,0,4,52.08,1,Unknown,Natural Product,COCONUT
LIG_0158,,CCc1cscc1C(C)(C)CC,182.33,4.0,0,1,0.0,3,Unknown,Natural Product,COCONUT
LIG_0159,,C[C@H]1C[C@@H]2OC(=O)[C@H](C)[C@H]2C=CC1=O,194.23,1.33,0,3,43.37,0,Unknown,Natural Product,COCONUT
LIG_0160,,COc1ccc(CCN)cc1,151.21,1.2,1,2,35.25,3,Unknown,Natural Product,COCONUT
LIG_0161,,CC[C@@H](Cc1ccccc1)NC(C)=O,191.27,2.14,1,1,29.1,4,Unknown,Natural Product,COCONUT
LIG_0162,,O=C(O)[C@H](O)[C@@H](O)[C@H](O)CO,166.13,-2.85,5,5,118.22,4,Unknown,Natural Product,COCONUT
LIG_0163,,c1cc(NCCc2cnc[nH]2)c[nH]1,176.22,1.39,3,2,56.5,4,Unknown,Natural Product,COCONUT
LIG_0164,,CCCCCCC(C)C,128.26,3.61,0,0,0.0,5,Unknown,Natural Product,COCONUT
LIG_0165,,Cc1c(N)cccc1OC=O,151.16,1.11,1,3,52.32,2,Unknown,Natural Product,COCONUT
LIG_0166,,CC1=C(C=O)[C@H]([C@@H](C)C=O)CC1,166.22,1.75,0,2,34.14,3,Unknown,Natural Product,COCONUT
LIG_0167,,C=CCc1cncc(C)n1,134.18,1.51,0,2,25.78,2,Unknown,Natural Product,COCONUT
LIG_0168,,O=C1N=C(O)C=C1Br,175.97,0.76,1,1,49.66,0,Unknown,Natural Product,COCONUT
LIG_0169,,C[C@H](O)[C@H](O)CCC[N+](C)(C)C,176.28,0.21,2,2,40.46,5,Unknown,Natural Product,COCONUT
LIG_0170,,C=Cc1cnc(C)cn1,120.15,1.43,0,2,25.78,1,Unknown,Natural Product,COCONUT
LIG_0171,,COc1ccc([C@@](C)(N)C(=O)O)cc1,195.22,0.95,2,3,72.55,3,Unknown,Natural Product,COCONUT
LIG_0172,,Cc1c(Cl)cc(S)cc1Cl,193.1,3.59,1,1,0.0,0,Unknown,Natural Product,COCONUT
LIG_0173,,CN(C)CCOC(=O)c1ccccc1,193.25,1.4,0,3,29.54,4,Unknown,Natural Product,COCONUT
LIG_0174,,COc1cccc2c(=O)ccn(C)c12,189.21,1.55,0,2,31.23,1,Unknown,Natural Product,COCONUT
LIG_0175,,OC[C@H](O)c1cccc([C@@H](O)CO)c1,198.22,-0.26,4,4,80.92,4,Unknown,Natural Product,COCONUT
LIG_0176,,COCc1ccc(COC)cc1,166.22,1.98,0,2,18.46,4,Unknown,Natural Product,COCONUT
LIG_0177,,CC1=C[C@@H](O)[C@H]2C[C@@H]1C2(C)C,152.24,1.97,1,1,20.23,0,Unknown,Natural Product,COCONUT
LIG_0178,,CCC/C=C\C(=O)OC,128.17,1.52,0,2,26.3,3,Unknown,Natural Product,COCONUT
LIG_0179,,COP(OC)C(=O)c1ccccc1,198.16,2.43,0,3,35.53,4,Unknown,Natural Product,COCONUT
LIG_0180,,O=C1C[C@H](O)[C@H](O)c2cc(O)ccc21,194.19,0.37,3,4,77.76,0,Unknown,Natural Product,COCONUT
LIG_0181,,COc1cc(C(=O)[O-])ccc1O.[Na+],190.13,-3.23,1,4,69.59,2,Unknown,Natural Product,COCONUT
LIG_0182,,O=C(O)[C@@H]1CN[C@@H](C(=O)O)C1,159.14,-0.87,3,3,86.63,2,Unknown,Natural Product,COCONUT
LIG_0183,,O=C1O[C@@H]([C@@H](O)CO)C(O)=C1O,176.12,-1.41,4,6,107.22,2,Unknown,Natural Product,COCONUT
LIG_0184,,C[N+]1(C)[C@H]2CC[C@H]1CC(O)C2,156.25,0.75,1,1,20.23,0,Unknown,Natural Product,COCONUT
LIG_0185,,Cc1cc(O)c(C=O)c(O)c1C#[O+],179.15,0.96,2,3,77.43,1,Unknown,Natural Product,COCONUT
LIG_0186,,COc1cccc2cccc(OC)c12,188.23,2.86,0,2,18.46,2,Unknown,Natural Product,COCONUT
LIG_0187,,Cc1cnn(C[C@@H](N)C(=O)O)c1,169.18,-0.4,2,3,81.14,3,Unknown,Natural Product,COCONUT
